input_word,target_word
ეთნოვრაფია,ეთნოგრაფია
პატენტი,პატენტის
ანგარით,ანგარიშით
ელექტულსა,ელექტულსა
მოვვეშვი,მოვეშვი
ფართის,ფართობის
წყლებიც,წყლებიც
განხდარიყო,განხდარიყო
ტოტელბენიშ,ტოტლებენის
დამხობაში,დამხობაში
ვიჭეგთ,ვიჭერთ
ფატვიზ,ფარვიზ
პანღურს,პანღურს
კაამრრგი,კამარგი
კატაკლიზმებს,კატაკლიზმებს
დათვების,დათვების
ვარდებულია,ვალდებულია
საზიარო,საზიარო
პატიმრრობა,პატიმრობა
გვარცლეებით,გავრცელებით
გამოიზრადოს,გამოიზარდოს
თანომვან,თანხმოვან
სულმოკლეობა,სულმოკლეობა
მოიდრიკო,მოიდრიკო
ესიკის,ბესიკის
დარჩენილებმა,დარჩენილებმა
გოდუნოვდბის,გოდუნოვების
მრააეგრიტ,მარაგერიტ
მოინახულესს,მოინახულეს
ასვთი,ასვთი
სოციოპოლიტკიური,სოციოპოლიტიკური
საბრძოლო,საბრძოლო
ნიმაცისი,ანიმაციის
განსხვავებები,განსხვავებები
იდუსელდორფის,დიუსელდორფის
კეთილსინდისიერი,კეთილსინდისიერი
იბრაჰიმმოვიჩი,იბრაჰიმოვიჩი
ხახვიც,ხახვიც
ჯოული,ჯოული
ლიტერატურათმცოდნეობა,ლიტერატურათმცოდნეობა
დანშააულისათვის,დანაშაულისათვის
ვაჟიშვლი,ვაჟიშვილი
ბამწვანების,გამწვანების
რსეტორატორი,რესტორატორი
ვგებულობთ,ვგებულობთ
კონვენციას,კონვენციას
კაარისთვის,კარისთვის
დსინეილენდი,დისნეილენდი
ხევებს,ხევებს
ბალაირევი,ბალაკირევი
სამთაასიანი,სამათასიანი
ჩავაგდებ,ჩავაგდებ
ასოცხო,ამოსცხო
დონიდან,დონიდან
წყალვთი,წყალივით
ოჩმაჩირე,ოჩამჩირე
დაციტის,დაციტის
ხახთი,ხახით
სიმოკლლე,სიმოკლე
ინტენსიურობას,ინტენსიურობას
მმაგთებდა,მმართებდა
დლეზდენში,დრეზდენში
აწრმართულიყყო,წარმართულიყო
ბარიკადებზე,ბარიკადებზე
ფახრალოდოან,ფახრალოდან
წყლობა,წყალობა
რეექტუსთან,ერექტუსთან
ტიბურ,ტბიურ
ბაგაფში,ბაგაფში
გილერმო,გილიერმო
პოლონეთსა,პოლონეთსა
ბარათთები,ბარათები
კავკასინის,კავკასიონის
ლაჩნის,ლანჩის
მიმმიტყუა,მიმიტყუა
მინასტნა,მინასთან
ვფ,ვპ
ზედამხედვეელი,ზედამხედველი
შეგნებუულად,შეგნებულად
წალმატებების,წარმატებების
გოროზი,გოროზია
ორგანიზატოი,ორგანიზატორი
ეჯნეი,თეჯენი
დდევიდ,დევიდ
ზეპირსიტყვიერების,ზეპირსიტყვიერების
ჩაუგდო,ჩაუგდო
დამაგდებდა,დამაგდებდა
ბეკერი,ბეკერი
ჯეროვნად,ჯეროვნად
გაადნომვრა,გადანომვრა
გამომნელებოდდა,გამომნელებოდა
რონდა,ფონდა
მუსწრი,მუსარი
მირკანს,მირკანს
მჯდომარემ,მჯდომარემ
გორიჯვრის,გორიჯვრის
დახშუილ,დახშული
კლავიდუშის,კლავდიუსის
მცხეთსსთან,მცხეთასთან
კონერტსაც,კონცერტსაც
სასწავლეჰელში,სასწავლებელში
რენფსანსული,რენესანსული
ფორსმარკი,ფორსმარკი
მერიდეიაბნ,მერიდებიან
მსხდმნოი,მსხდომნი
თარაათ,თალაათ
გეოგრაფიიშ,გეოგრაფიის
პოპულლარობაზე,პოპულარობაზე
უკიდურრესობებს,უკიდურესობებს
ოტოლარიჯგოლოგებთან,ოტოლარინგოლოგებთან
თგითმკვლელობას,თვითმკვლელობას
პაპსა,პაპსა
მივთე,მითვე
სძლია,სძლია
ხო,ეხო
მოეტებნეს,მოეგებნეს
დიპლომააისთან,დიპლომატიასთან
შორაპნსია,შორაპნისა
ხრაკი,ხარკი
აადგილებშია,ადგილებშია
ქქუჩუქ,ქუჩუქ
საითნაისგან,შაითანისგან
დამლაშებულ,დამლაშებულ
ჰიმლფრს,ჰიმლერს
ჰაბსბურგბის,ჰაბსბურგების
მომსპოლველიისა,მომსპოლველისა
ოორმოც,ორმოც
უმიზეზოდ,უმიზეზოდ
კოლხა,კოლხა
მოსიარულე,მოსიარულე
ვალონსიშ,ვალონსის
იებშს,ინებოს
უბრნაშეთის,ბურნაშეთის
შიმხდალის,სიმხდალის
წაყბურთელი,წყალბურთელი
აიგებდა,აიღებდა
პრატოს,პლატოს
აღზრდის,აღზრდის
ბოტტორას,ბოტორას
საკაალთბრუთო,საკალთბურთო
ღამოცხადებიდან,გამოცხადებიდან
სფერულობის,სფერულობის
შერაზადილვილი,შერაზადიშვილი
ორგგანთოი,ორგანოთი
მოულოდნელმა,მოულოდნელმა
აკვინდინე,აკვინდინე
შტიანმაიერი,შტაინმაიერი
მამაჩემიის,მამაჩემის
ბოშო,ბოშო
გაუქმებულია,გაუქმებულია
დავრჩებიო,დავრჩებიო
ჯეტყველებაა,მეტყველებაა
ფააღებდა,გააღებდა
საფტექელს,საფეთქელს
გადაჭრიდით,გადაჭრიდით
თხემამდე,თხემამდე
გაანადუერს,გაანადგურეს
ძალლინ,ძალინ
მიჰგვარეს,მიჰგვარეს
ჩვენ,ჩვენც
ჰლესინკის,ჰელსინკის
წავიყყვვანე,წავიყვანე
დავათვრეთ,დავათვრეთ
დარცათ,დარჩათ
მიზნეიბსთვის,მიზნებისთვის
ხსლედ,ხალედ
ბრწყინავლეს,ბრწყინვალეს
მულტიპლიკატორი,მულტიპლიკატორი
რუუის,რუსის
არრქმეევს,არქმევს
შერური,შერბური
რატანისა,არტანისა
დღიუო,დღიური
რაღუთინსკი,არღუთინსკი
ჯოხმობის,მოხმობის
მოაქციეს,მოაქციეს
მექის,მერქსი
ბურგუდია,ბურგუნდია
იღიდეს,იყიდეს
აბდულზაიზის,აბდულაზიზის
ტექნიკი,ტექნიკის
დათუანშვილუ,დათუნაშვილი
წყვლიებს,წყვილებს
დეტერმინიზმი,დეტერმინიზმი
ამბროლქური,ამბროლაური
პროვიდენციულად,პროვიდენციულად
ხაშურიღამიტ,ხაშურიღამით
ასაქობრივი,ასაკობრივი
ამთიავილმა,მათიაშვილმა
ზამთარაძის,ზამთარაძის
გარდაქმინლი,გარდაქმნილი
ბიგა,გიგა
თურამნძიეები,თურმანიძეები
რანსისკოო,ფრანსისკო
შემოიკრიბა,შემოიკრიბა
მოგცე,მოგცე
დედამწა,დედამიწა
შათმომავლრბით,შთამომავლებით
შეტქმულება,შეთქმულება
ალმასზადე,ალმასზადე
ყსდვეს,ყავდეს
უტორდება,უტოლდება
ფარგლებიდან,ფარგლებიდან
მანმოჰან,მანმოჰან
თთთ,თთ
ერიინთა,ელინთა
ბბალიონეთი,ბაბილონეთი
ტოოფარი,ტოვარი
არსაიდნაო,არსაიდანო
დასასრულამდე,დასასრულამდე
ლინგ,ლიანგ
პროტსერი,პროტესტი
შეზმიანსბა,შეხმიანება
ნურავინ,ნურავინ
გალაპარკებთ,გალაპარაკებთ
უძახის,უძახის
ამოძვრეს,ამოძვრეს
კენსორნიე,კენსორინე
ნაბოკივის,ნაბოკოვის
გამიძენლდა,გამიძნელდა
კიჯუტაკე,კიკუტაკე
